datetime,open,high,low,close
2022-08-11T13:15:00+05:30,17982.8,17984.35,17970.55,17972.25
2022-08-11T13:20:00+05:30,17972.15,17972.15,17952,17957.65
2022-08-11T13:25:00+05:30,17958,17962,17941.1,17949.75
2022-08-11T13:30:00+05:30,17949.45,17950,17940.2,17945.55
2022-08-11T13:35:00+05:30,17944.85,17966.5,17942.5,17966.5
2022-08-11T13:40:00+05:30,17965.95,17978.1,17965.65,17972.45
2022-08-11T13:45:00+05:30,17973.4,17982.85,17972.5,17978.3
2022-08-11T13:50:00+05:30,17977.2,17980.95,17970.65,17977.45
2022-08-11T13:55:00+05:30,17976.7,17978.5,17968.6,17975.95
2022-08-11T14:00:00+05:30,17975.5,17977.35,17966.45,17970.05
2022-08-11T14:05:00+05:30,17969.65,17974.55,17960.4,17969.35
2022-08-11T14:10:00+05:30,17969.45,17973.05,17958.85,17967.3
2022-08-11T14:15:00+05:30,17966.8,17967.7,17957.3,17961.2
2022-08-11T14:20:00+05:30,17960.9,17979.4,17960.65,17978.25
2022-08-11T14:25:00+05:30,17977.9,17987.45,17973.7,17976.75
2022-08-11T14:30:00+05:30,17974.55,17992.95,17972.65,17984.5
2022-08-11T14:35:00+05:30,17984.1,17987.95,17974.55,17979.7
2022-08-11T14:40:00+05:30,17978.85,17980.85,17972.15,17974.7
2022-08-11T14:45:00+05:30,17973.35,17979.15,17966.15,17976.15
2022-08-11T14:50:00+05:30,17975.25,17982.6,17971.6,17977
2022-08-11T14:55:00+05:30,17974.95,17981.25,17971.05,17980.95
2022-08-11T15:00:00+05:30,17979.25,17998.5,17978.1,17991.6
2022-08-11T15:05:00+05:30,17992.8,17996.6,17984.75,17989.95
2022-08-11T15:10:00+05:30,17990.5,17991.5,17961.8,17964.85
2022-08-11T15:15:00+05:30,17963.8,17973.2,17962.2,17971.6
2022-08-11T15:20:00+05:30,17972,17977.4,17969.55,17975.85
2022-08-11T15:25:00+05:30,17974.15,17976.65,17952.05,17954
2022-08-12T09:15:00+05:30,17975.9,18018.2,17964.9,17991.45
2022-08-12T09:20:00+05:30,17990.7,17996.1,17950.15,17955.75
2022-08-12T09:25:00+05:30,17955.65,17964.05,17930.75,17934.3
2022-08-12T09:30:00+05:30,17933.65,17942,17919.05,17922.45
2022-08-12T09:35:00+05:30,17921.2,17941.05,17918.95,17933.4
2022-08-12T09:40:00+05:30,17933.5,17937.75,17919.75,17937.75
2022-08-12T09:45:00+05:30,17937.85,17957.85,17933.55,17950.95
2022-08-12T09:50:00+05:30,17951.4,17963.95,17943.45,17961.55
2022-08-12T09:55:00+05:30,17959.05,17959.5,17943,17945.7
2022-08-12T10:00:00+05:30,17948.85,17961.9,17945,17956.95
2022-08-12T10:05:00+05:30,17956.7,17964.8,17952.7,17964.5
2022-08-12T10:10:00+05:30,17964.15,17979.4,17962.55,17975.75
2022-08-12T10:15:00+05:30,17977.35,17980.85,17971.85,17976.75
2022-08-12T10:20:00+05:30,17977.45,17999.9,17975.8,17991.35
2022-08-12T10:25:00+05:30,17989.4,17993.9,17980.4,17984.45
2022-08-12T10:30:00+05:30,17984.55,17992.4,17984.5,17985.1
2022-08-12T10:35:00+05:30,17985,17985.75,17964.5,17965.05
2022-08-12T10:40:00+05:30,17965.2,17977.15,17961.55,17963.25
